34.09,34.39,33.66,34.26,2536933,86440604,0.18,0.5282,34.0729,0.755,14450757751,19.424,6.8582,3372.161
34.6,36.78,34.6,36.42,6408240,230080274,2.16,6.3047,35.9038,1.9072,15361838800,20.6486,7.2906,3381.142
36.62,36.8,35.95,36.17,3227909,116743866,-0.25,-0.6864,36.167,0.9607,15256389605,20.5068,7.2405,3394.564
36.3,36.3,35.36,35.65,2574793,91796862,-0.52,-1.4377,35.6521,0.7663,15037055278,20.212,7.1364,3404.91
35.99,38.5,35.99,37.19,10478504,393993472,1.54,4.3198,37.6002,3.1186,15686622323,21.0851,7.4447,3304.946
37,37.91,36.69,37.78,5678581,212595081,0.59,1.5864,37.4381,1.6901,15935482424,21.4196,7.5628,3312.157
37.3,38.06,36.81,37.95,6537210,245517872,0.17,0.45,37.557,1.9456,16007187877,21.516,7.5968,3280.6
37.93,38.48,36.29,36.31,5218554,194885937,-1.64,-4.3215,37.3448,1.5531,15315441154,20.5862,7.2686,3244.996
36.19,36.58,34.68,35.01,3235128,113874183,-1.3,-3.5803,35.1993,0.9628,14767105338,19.8492,7.0083,3166.194
34.85,35.18,34.07,34.44,1731263,59872480,-0.57,-1.6281,34.5831,0.5153,14526681172,19.526,6.8942,3131.628
34.11,35.42,34.11,35.02,1871633,65397208,0.58,1.6841,34.9413,0.557,14771323306,19.8548,7.0103,3139.479
35.29,35.29,34.01,34.25,1775822,61238168,-0.77,-2.1987,34.4844,0.5285,14446539784,19.4183,6.8562,3084.555
34.49,35.01,34.11,34.15,1726426,59717313,-0.1,-0.292,34.5901,0.5138,14404360105,19.3616,6.8362,3077.584
34.5,34.5,32.61,34.08,2567514,86252684,-0.07,-0.205,33.5939,0.7641,14374834331,19.3219,6.8222,3150.005
34,34.55,33.11,34,1352631,46054641,-0.08,-0.2347,34.0482,0.4026,14341090588,19.2765,6.8061,3140.975
33.5,33.8,32.83,33,1869563,61938282,-1,-2.9412,33.1298,0.5564,13919293806,18.7096,6.606,3082.351
33,33.44,32.68,33.05,747451,24718938,0.05,0.1515,33.071,0.2225,13940383645,18.7379,6.616,3077.839
32.18,33.2,32.18,32.99,1044469,34358856,-0.06,-0.1815,32.896,0.3109,13915075838,18.7039,6.604,3092.107
33.2,33.35,32.9,33.3,884213,29294263,0.31,0.9397,33.1303,0.2632,14045832841,18.8797,6.666,3127.389
33.3,33.47,33.12,33.28,668210,22274976,-0.02,-0.0601,33.3353,0.1989,14037396905,18.8683,6.662,3130.426
33.28,34.09,33,33.91,934184,31431754,0.63,1.893,33.6462,0.278,14303128878,19.2255,6.7881,3164.654
33.8,34.17,33.61,33.65,1344192,45417918,-0.26,-0.7667,33.7883,0.4001,14193461714,19.0781,6.7361,3149.133
33.84,33.96,33,33.89,838557,28010441,0.24,0.7132,33.4031,0.2496,14294692942,19.2142,6.7841,3127.212
33.86,34.18,33.5,34.11,961220,32561808,0.22,0.6492,33.8755,0.2861,14387488234,19.3389,6.8282,3168.848
34.35,34.58,34.15,34.37,1375541,47255619,0.26,0.7622,34.3542,0.4094,14497155397,19.4863,6.8802,3209.193
34.37,34.4,33.6,33.73,2097261,71232905,-0.64,-1.8621,33.9647,0.6242,14227205457,19.1235,6.7521,3200.047
33.8,34.55,33.8,34.43,1348462,46165057,0.7,2.0753,34.2353,0.4013,14522463204,19.5203,6.8922,3237.853
34.38,34.67,34.3,34.57,1478562,50956166,0.14,0.4066,34.4633,0.44,14581514754,19.5997,6.9202,3222.504
34.58,34.8,34.03,34.63,1198227,41256513,0.06,0.1736,34.4313,0.3566,14606822561,19.6337,6.9322,3247.546
34.6,34.85,33.07,33.29,1667109,56824790,-1.34,-3.8695,34.0858,0.4962,14041614873,18.874,6.664,3170.236
33.06,33.48,32.9,33.3,1594212,52841359,0.01,0.03,33.1458,0.4745,14045832841,18.8797,6.666,3178.148
33.39,34.2,33.28,33.51,2284907,77104449,0.21,0.6306,33.7451,0.68,14134410165,18.9987,6.708,3201.376
33.79,34.1,33.5,33.71,1909403,64662163,0.2,0.5968,33.8651,0.5683,14218769521,19.1121,6.7481,3218.106
33.71,34.09,33.52,33.83,1559558,52882359,0.12,0.356,33.9086,0.4642,14269385135,19.1802,6.7721,3196.946
33.75,34.33,33.5,33.89,1665923,56547142,0.06,0.1774,33.9434,0.4958,14294692942,19.2142,6.7841,3199.629
33.9,33.9,33.05,33.2,1338856,44721071,-0.69,-2.036,33.4025,0.3985,14003653162,18.823,6.646,3159.832
33.22,33.32,32.96,33.13,559164,18500138,-0.07,-0.2108,33.0854,0.1664,13974127388,18.7833,6.632,3121.508
33.14,33.5,33,33.34,1413733,46971557,0.21,0.6339,33.2252,0.4208,14062704712,18.9024,6.674,3138.132
33.45,34,33.2,33.99,1440611,48542151,0.65,1.9496,33.6955,0.4288,14336872620,19.2709,6.8041,3198.602
33.91,34.2,33.81,34,1064181,36157366,0.01,0.0294,33.9767,0.3167,14341090588,19.2765,6.8061,3193.965
34.11,34.33,34.01,34.25,1227432,41974815,0.25,0.7353,34.1973,0.3653,14446539784,19.4183,6.8562,3216.678
34.25,34.8,34.25,34.41,1586701,54860713,0.16,0.4672,34.5753,0.4722,14514027269,19.509,6.8882,3223.855
34.43,35.98,34.43,35.51,4181955,147841814,1.1,3.1967,35.3523,1.2446,14978003729,20.1327,7.1084,3201.331
35.55,37.05,35.55,36.61,7609469,279253231,1.1,3.0977,36.6981,2.2647,15441980189,20.7563,7.3286,3205.15
36.62,36.8,35.88,36.06,3122600,113370563,-0.55,-1.5023,36.3065,0.9293,15209991959,20.4445,7.2185,3165.608
36,36.97,36,36.37,3706784,135531093,0.31,0.8597,36.563,1.1032,15340748961,20.6202,7.2806,3208.216
37.2,37.2,36.38,36.58,2835817,104011978,0.21,0.5774,36.678,0.844,15429326286,20.7393,7.3226,3275.551
